Nom de la gare;Nom de la gare;Code UIC;Code postal;Segmentation DRG;Total Voyageurs 2022;Total Voyageurs + Non voyageurs 2022;Total Voyageurs 2021;Total Voyageurs + Non voyageurs 2021;Total Voyageurs 2020;Total Voyageurs + Non voyageurs 2020;Total Voyageurs 2019;Total Voyageurs + Non voyageurs 2019;Total Voyageurs 2018;Total Voyageurs + Non voyageurs 2018;Total Voyageurs 2017;Total Voyageurs + Non voyageurs 2017;Total Voyageurs 2016;Total Voyageurs + Non voyageurs 2016;Total Voyageurs 2015;Total Voyageurs + Non voyageurs 2015;Code Postal
Batz-sur-Mer;Maisons-Laffitte;87386425;78600;B;7964985;7964985;6034740;6034740;4048033;4048033;8594609;8594609;8358173;8358173;8149225;8149225;7842005;7842005;7549498;7549498;78
Baule;Mareil-sur-Mauldre;87381715;78124;C;70521;70521;76033;76033;39174;39174;85503;85503;82238;82238;79678;79678;75375;75375;71077;71077;78
Béard;Marne-la-Vallée Chessy;87111849;77700;A;4641120;4825292;3312209;3443646;2492919;2591844;5432886;5648477;5996489;6234445;6009276;6247740;5418784;5633816;5443822;5659847;77
Beaucaire;Meaux;87116103;77100;B;7838001;7838001;8727614;8727614;649234;649234;9490751;9490751;9260830;9260830;9061287;9061287;8698195;8698195;8321142;8321142;77
Beaumont-le-Roger;Mennecy;87681411;91540;B;797420;797420;1164793;1164793;367289;367289;965477;965477;1026207;1026207;1095707;1095707;1146510;1146510;1194181;1194181;91
Beaune;Meudon Val Fleury;87393082;92190;B;2389874;2389874;1323040;1323040;1222423;1222423;2893671;2893671;2940191;2940191;2996579;2996579;2998119;2998119;2982684;2982684;92
Beaurainville;Mitry - Claye;87271528;77290;B;2580330;2580330;2460460;2460460;1404440;1404440;2950501;2950501;3054942;3054942;3079825;3079825;3039545;3039545;2989451;2989451;77
Beauvoisin;Montreuil;87382879;78000;B;2010237;2010237;1897965;1897965;748793;748793;2226698;2226698;2204405;2204405;2192249;2192249;2137642;2137642;2248554;2248554;78
Bédarrides;Montry - Condé;87116400;77450;C;42061;42061;54070;54070;23320;23320;50924;50924;54662;54662;58286;58286;61455;61455;64462;64462;77
Bellac;Montsoult - Maffliers;87276493;95560;B;1480901;1480901;1315810;1315810;768419;768419;1492565;1492565;1571578;1571578;1604400;1604400;1579430;1579430;1547828;1547828;95
Belle-Isle - Bégard;Mortcerf;87116244;77163;B;127841;127841;135903;135903;75184;75184;154778;154778;141533;141533;130839;130839;118481;118481;107069;107069;77
Belleville;Nemours - Saint-Pierre;87684126;77140;B;1245506;1245506;1279368;1279368;772805;772805;1507877;1507877;1532858;1532858;1565806;1565806;1563912;1563912;1561329;1561329;77
Bellevue;Nogent - Le Perreux;87113746;94130;B;3019593;3019593;3079817;3079817;2091668;2091668;4819859;4819859;4841770;4841770;4864227;4864227;4806191;4806191;4716682;4716682;94
Belvezet;Ozoir-la-Ferrière;87116020;77330;B;1757433;1757433;1914692;1914692;1129670;1129670;2409248;2409248;2409568;2409568;2429288;2429288;2396593;2396593;2353072;2353072;77
Belz - Ploemel;Pamiers;87611343;9100;B;358918;448647;270418;338022;178137;222671;295200;369000;267380;334225;345524;431905;341778;427223;354474;443092;91
Besançon Mouillère;Paris Gare du Nord;87271007;75010;A;211698470;239949211;126621006;149217869;92233317;108188925;244744368;275203433;244465576;274092403;247963153;278140181;242273091;270887333;238356138;266169117;75
Beslé;Paris Montparnasse;87391003;75015;A;56862435;71219734;41039816;51402955;32447396;40623410;61374056;76622775;59174533;73296351;57752742;72096492;55162747;68903364;55167664;68930603;75
Beuvrages;Péreire - Levallois;87381012;75017;B;3719484;3719484;1495122;1495122;1599075;1599075;4503007;4503007;4649913;4649913;4850376;4850376;4948939;4948939;5021220;5021220;75
Beynes;Poissy;87386573;78300;B;11163637;11163637;7308400;7308400;5232947;5232947;10787497;10787497;10810112;10810112;10895097;10895097;10764545;10764545;10598539;10598539;78
Bidos;Pont de l'Alma;87393041;75007;B;3411547;3411547;2734194;2734194;2258916;2258916;4130203;4130203;4258429;4258429;4384798;4384798;4438616;4438616;4469086;4469086;75
Billy-Montigny;Ponthierry - Pringy;87682526;77310;B;408987;408987;421325;421325;225928;225928;495137;495137;503026;503026;513571;513571;513654;513654;511417;511417;77
Blainville - Damelevières;Porte de Clichy;87111278;75017;B;3107862;3107862;2502513;2502513;1318285;1318285;3762544;3762544;3928691;3928691;4126841;4126841;4245846;4245846;4347686;4347686;75
Blangy-sur-Ternoise;Provins;87116160;77160;B;564456;564456;566796;566796;301849;301849;683609;683609;696157;696157;710305;710305;709649;709649;708317;708317;77
Blanzy;Puteaux;87382382;92800;B;3900194;3900194;3006079;3006079;1740529;1740529;4036184;4036184;3737930;3737930;3491920;3491920;3201842;3201842;3058734;3058734;92
Blonville-sur-Mer - Benerville;Sainte-Colombe Septveilles;87116178;77650;B;114903;114903;123972;123972;80801;80801;139106;139106;136480;136480;135314;135314;131745;131745;127795;127795;77
Bohain-en-Vermandois;Saint-Leu-la-Forêt;87276600;95320;B;2272089;2272089;1845506;1845506;588790;588790;2353567;2353567;2395427;2395427;2343136;2343136;2277835;2277835;2203356;2203356;95
Boissise-le-Roi;Saint-Martin d'Étampes;87545350;91150;B;493755;493755;477707;477707;282784;282784;597764;597764;606163;606163;618898;618898;618353;618353;615262;615262;91
